id,expectedValue,expectedValueUpdatedAt,betSide,market,bookmaker,bookmakerOdds,eventId,event
61810320-2-ML-away-Duel,103.32696481857862,2025-11-26T13:56:51.207Z,away,"{'name': 'ML', 'home': '1.248', 'away': '5.033', 'max': 50}",Duel,"{'home': '1.26', 'away': '5.20', 'draw': '10.00', 'href': 'https://duel.com/sports?bt-path=/handball/france/lnh-division-1/e-e-2605169824342609928'}",61810320,"{'home': 'USAM Nimes Gard', 'away': 'Dijon Metropole Handball', 'date': '2025-11-28T19:00:00Z', 'sport': 'Handball', 'league': 'France - LNH Division 1'}"
61810314-2-ML-home-Duel,105.00115558614323,2025-11-26T12:56:52.242Z,home,"{'name': 'ML', 'home': '2.057', 'away': '1.946', 'max': 234}",Duel,"{'home': '2.16', 'away': '2.03', 'draw': '7.80', 'href': 'https://duel.com/sports?bt-path=/handball/1669819052790517760/e-e-2604643109941944337'}",61810314,"{'home': 'Istres Provence Handball', 'away': 'Cesson Rennes Metropole HB', 'date': '2025-11-26T17:00:00Z', 'sport': 'Handball', 'league': 'France - LNH Division 1'}"
64321977-ML-home-Duel,101.00848804722682,2025-11-26T12:46:53.112Z,home,"{'name': 'ML', 'home': '2.445', 'away': '1.692', 'max': 200}",Duel,"{'home': '2.47', 'away': '1.48', 'href': 'https://duel.com/sports?bt-path=/volleyball/1670020204236771328/e-e-2605117626980118534'}",64321977,"{'home': 'Pirin Razlog', 'away': 'Beroe Stara Zagora', 'date': '2025-11-26T15:30:00Z', 'sport': 'Volleyball', 'league': 'Bulgaria - Super League'}"
61754962-ML-home-Duel,100.32060132819839,2025-11-26T11:35:17.304Z,home,"{'name': 'ML', 'home': '4.187', 'draw': '4.058', 'away': '1.943', 'max': 300}",Duel,"{'home': '4.20', 'away': '1.76', 'draw': '3.60', 'href': 'https://duel.com/sports?bt-path=/soccer/1670142188262170624/e-e-2604174599549751336'}",61754962,"{'home': 'KSC Lokeren-Temse', 'away': 'KV Kortrijk', 'date': '2025-11-29T15:00:00Z', 'sport': 'Football', 'league': 'Belgium - Challenger Pro League'}"
id,expectedValue,expectedValueUpdatedAt,betSide,market,bookmaker,bookmakerOdds,eventId,event
63465755-ML-home-Duel,100.71172944929252,2025-11-26T15:14:54.114Z,home,"{'name': 'ML', 'home': '1.261', 'draw': '6.876', 'away': '16.243', 'max': 300}",Duel,"{'home': '1.27', 'away': '9.80', 'draw': '5.00', 'href': 'https://duel.com/sports?bt-path=/soccer/1669818878454272000/e-e-2603955785163747370'}",63465755,"{'home': 'FC CSKA 1948', 'away': 'PFK Beroe Stara Zagora', 'date': '2025-11-29T10:30:00Z', 'sport': 'Football', 'league': 'Bulgaria - Parva Liga'}"
61526230-Bookings Totals-home-Duel-3.5,102,2025-11-26T15:12:42.884Z,home,"{'name': 'Bookings Totals', 'hdp': 3.5, 'home': '2.000', 'away': '2.000', 'max': 100}",Duel,"{'home': '2.04', 'away': '1.64', 'hdp': '3.5', 'href': 'https://duel.com/sports?bt-path=/soccer/1669818844560101376/e-e-2599284448335892490'}",61526230,"{'home': 'AS Monaco', 'away': 'Paris Saint-Germain', 'date': '2025-11-29T16:00:00Z', 'sport': 'Football', 'league': 'France - Ligue 1'}"
66052294-Totals HT-home-Duel-0.5,100.32900290378284,2025-11-26T15:12:18.892Z,home,"{'name': 'Totals HT', 'hdp': 0.5, 'home': '1.455', 'away': '3.197', 'max': 50}",Duel,"{'home': '1.46', 'away': '2.42', 'hdp': '0.5', 'href': 'https://duel.com/sports?bt-path=/soccer/2285535830229528609/e-e-2605133877500588033'}",66052294,"{'home': 'Itapipoca EC CE', 'away': 'Maracana EC CE', 'date': '2025-11-26T23:00:00Z', 'sport': 'Football', 'league': 'Brazil - Taca Fares Lopes'}"
61396665-ML-away-Duel,110.67152375013538,2025-11-26T15:11:51.019Z,away,"{'name': 'ML', 'home': '1.382', 'draw': '7.430', 'away': '7.048', 'max': 200}",Duel,"{'home': '1.29', 'away': '7.80', 'draw': '5.60', 'href': 'https://duel.com/sports?bt-path=/soccer/1669818904584785920/e-e-2604390726670360576'}",61396665,"{'home': 'SK Slovan Bratislava', 'away': 'MFK Zemplin Michalovce', 'date': '2025-11-30T14:30:00Z', 'sport': 'Football', 'league': 'Slovakia - Superliga'}"
62072162-Totals-home-Duel-6,103.07580811136032,2025-11-26T15:08:18.377Z,home,"{'name': 'Totals', 'hdp': 6, 'home': '2.115', 'away': '1.897', 'max': 3750}",Duel,"{'home': '2.18', 'away': '1.65', 'hdp': '6', 'href': 'https://duel.com/sports?bt-path=/ice-hockey/usa/nhl/e-e-2604657895090040843'}",62072162,"{'home': 'Tampa Bay Lightning', 'away': 'Calgary Flames', 'date': '2025-11-27T00:00:00Z', 'sport': 'Ice Hockey', 'league': 'USA - NHL'}"
60574919-Totals-home-Duel-46.5,132.5994290964458,2025-11-26T15:08:15.271Z,home,"{'name': 'Totals', 'hdp': 46.5, 'home': '1.704', 'away': '2.420', 'max': 5000}",Duel,"{'home': '2.26', 'away': '2.24', 'hdp': '46.5', 'href': 'https://duel.com/sports?bt-path=/american-football/1669818837568196608/e-e-2559329193615822890'}",60574919,"{'home': 'Detroit Lions', 'away': 'Green Bay Packers', 'date': '2025-11-27T18:00:00Z', 'sport': 'American Football', 'league': 'USA - NFL'}"
61810310-2-ML-home-Duel,104.17888166187817,2025-11-26T15:07:53.692Z,home,"{'name': 'ML', 'home': '3.264', 'away': '1.442', 'max': 127}",Duel,"{'home': '3.40', 'away': '1.48', 'draw': '8.60', 'href': 'https://duel.com/sports?bt-path=/handball/1669819052790517760/e-e-2605169824342609935'}",61810310,"{'home': 'Chartres Metropole Handball', 'away': 'Saint Raphael', 'date': '2025-11-28T19:00:00Z', 'sport': 'Handball', 'league': 'France - LNH Division 1'}"
65559094-Totals-away-Duel-3.5,103.75663333279984,2025-11-26T15:06:31.449Z,away,"{'name': 'Totals', 'hdp': 3.5, 'home': '4.030', 'away': '1.330', 'max': 200}",Duel,"{'home': '2.70', 'away': '1.38', 'hdp': '3.5', 'href': 'https://duel.com/sports?bt-path=/volleyball/1677859002337353728/e-e-2605173468303593509'}",65559094,"{'home': 'Stralsunder Wildcats', 'away': 'MTV Stuttgart', 'date': '2025-11-26T18:30:00Z', 'sport': 'Volleyball', 'league': 'Germany - DVV Cup, Women'}"
62070626-2-ML-away-Duel,106.75853725109121,2025-11-26T15:03:29.429Z,away,"{'name': 'ML', 'home': '1.784', 'away': '2.276', 'max': 150}",Duel,"{'home': '1.88', 'away': '2.43', 'draw': '8.00', 'href': 'https://duel.com/sports?bt-path=/handball/1670079188524208128/e-e-2604991535770644526'}",62070626,"{'home': 'Handball Tirol', 'away': 'JAGS Voslau', 'date': '2025-11-26T17:30:00Z', 'sport': 'Handball', 'league': 'Austria - HLA Meisterliga'}"
