56418475-Spread-away-Duel--1.25,105.5,Spread,Duel,1.74,2.10,,56418475,Northern Ireland,Luxembourg,Football,"International - WC Qualification, UEFA"
56418339-Team Total Away-home-Duel-1.5,100.31,Team Total Away,Duel,1.74,2.04,,56418339,Kosovo,Switzerland,Football,"International - WC Qualification, UEFA"
56418339-Spread-away-Duel-1,105.0,Spread,Duel,1.74,2.10,,56418339,Kosovo,Switzerland,Football,"International - WC Qualification, UEFA"
56418549-Spread-home-Duel-1,102.66,Spread,Duel,1.95,1.85,,56418549,Bulgaria,Georgia,Football,"International - WC Qualification, UEFA"
56418613-Spread-away-Duel--1.25,101.75,Spread,Duel,1.72,2.12,,56418613,Austria,Bosnia and Herzegovina,Football,"International - WC Qualification, UEFA"
61720634-ML-away-Duel,100.49,ML,Duel,6.20,1.54,4.20,61720634,Caykur Rizespor,Fenerbahce Istanbul,Football,Turkiye - Super Lig
56418613-Totals HT-away-Duel-1.5,100.14,Totals HT,Duel,2.58,1.48,,56418613,Austria,Bosnia and Herzegovina,Football,"International - WC Qualification, UEFA"
63472385-Team Total Away-away-Duel-0.5,105.06,Team Total Away,Duel,1.59,2.12,,63472385,Athens Kallithea FC,AO Egaleo 1931 PAE,Football,Greece - Super League 2
63472385-Spread-home-Duel--0.5,110.95,Spread,Duel,1.74,1.91,,63472385,Athens Kallithea FC,AO Egaleo 1931 PAE,Football,Greece - Super League 2
61688110-Team Total Home-home-Duel-0.5,104.2,Team Total Home,Duel,1.64,2.06,,61688110,SD Eibar,RCD Espanyol Barcelona,Football,Spain - Primera Division Women
63684423-ML-home-Duel,100.2,ML,Duel,1.64,5.00,4.00,63684423,Auckland FC,Brisbane Roar FC,Football,Australia - A-League
61624196-ML-away-Duel,100.62,ML,Duel,1.44,7.40,4.50,61624196,Villarreal CF,RCD Mallorca,Football,Spain - LaLiga
56418475-Team Total Home-away-Duel-1.5,102.4,Team Total Home,Duel,1.46,2.64,,56418475,Northern Ireland,Luxembourg,Football,"International - WC Qualification, UEFA"
56418821-Totals HT-away-Duel-1.5,100.37,Totals HT,Duel,2.32,1.58,,56418821,Montenegro,Croatia,Football,"International - WC Qualification, UEFA"
56418821-Team Total Away-away-Duel-2.5,102.54,Team Total Away,Duel,2.22,1.63,,56418821,Montenegro,Croatia,Football,"International - WC Qualification, UEFA"
56418821-Team Total Home-away-Duel-0.5,100.4,Team Total Home,Duel,1.78,1.99,,56418821,Montenegro,Croatia,Football,"International - WC Qualification, UEFA"
56418821-Spread-home-Duel-1.5,101.12,Spread,Duel,1.90,1.91,,56418821,Montenegro,Croatia,Football,"International - WC Qualification, UEFA"
64055443-Totals HT-away-Duel-1.5,100.76,Totals HT,Duel,2.50,1.48,,64055443,Al-Kholood,Al-Hazm,Football,Saudi Arabia - Saudi Pro League
64055443-Totals-away-Duel-2.5,102.12,Totals,Duel,1.72,2.08,,64055443,Al-Kholood,Al-Hazm,Football,Saudi Arabia - Saudi Pro League
64055441-Team Total Home-home-Duel-2.5,101.56,Team Total Home,Duel,1.78,1.94,,64055441,Al-Ittihad Club,Al-Riyadh SC,Football,Saudi Arabia - Saudi Pro League
64699994-ML-away-Duel,100.98,ML,Duel,2.28,2.98,3.45,64699994,FC Seoul,Gimcheon Sangmu FC,Football,Republic of Korea - K-League 1
